Bad,0x80000000,The value is bad but no specific reason is known,2147483648,128
Good,0x00000000,The value is good. There are no special conditions,0,0
Uncertain,0x40000000,There is no specific reason why the value is uncertain.,1073741824,64
BadUnexpectedError,0x80010000,An unexpected error occurred.,2147549184,128
BadInternalError,0x80020000,An internal error occurred as a result of a programming or configuration error.,2147614720,128
BadOutOfMemory,0x80030000,Not enough memory to complete the operation.,2147680256,128
BadResourceUnavailable,0x80040000,An operating system resource is not available.,2147745792,128
BadCommunicationError,0x80050000,A low level communication error occurred.,2147811328,128
BadEncodingError,0x80060000,Encoding halted because of invalid data in the objects being serialized.,2147876864,128
BadDecodingError,0x80070000,Decoding halted because of invalid data in the stream.,2147942400,128
BadEncodingLimitsExceeded,0x80080000,The message encoding/decoding limits imposed by the stack have been exceeded.,2148007936,128
BadRequestTooLarge,0x80B80000,The request message size exceeds limits set by the server.,2159542272,128
BadResponseTooLarge,0x80B90000,The response message size exceeds limits set by the client.,2159607808,128
BadUnknownResponse,0x80090000,An unrecognized response was received from the server.,2148073472,128
BadTimeout,0x800A0000,The operation timed out.,2148139008,128
BadServiceUnsupported,0x800B0000,The server does not support the requested service.,2148204544,128
BadShutdown,0x800C0000,The operation was cancelled because the application is shutting down.,2148270080,128
BadServerNotConnected,0x800D0000,The operation could not complete because the client is not connected to the server.,2148335616,128
BadServerHalted,0x800E0000,The server has stopped and cannot process any requests.,2148401152,128
BadNothingToDo,0x800F0000,There was nothing to do because the client passed a list of operations with no elements.,2148466688,128
BadTooManyOperations,0x80100000,The request could not be processed because it specified too many operations.,2148532224,128
BadTooManyMonitoredItems,0x80DB0000,The request could not be processed because there are too many monitored items in the subscription.,2161836032,128
BadDataTypeIdUnknown,0x80110000,The extension object cannot be (de)serialized because the data type id is not recognized.,2148597760,128
BadCertificateInvalid,0x80120000,The certificate provided as a parameter is not valid.,2148663296,128
BadSecurityChecksFailed,0x80130000,An error occurred verifying security.,2148728832,128
BadCertificateTimeInvalid,0x80140000,The certificate has expired or is not yet valid.,2148794368,128
BadCertificateIssuerTimeInvalid,0x80150000,An issuer certificate has expired or is not yet valid.,2148859904,128
BadCertificateHostNameInvalid,0x80160000,The HostName used to connect to a server does not match a HostName in the certificate.,2148925440,128
BadCertificateUriInvalid,0x80170000,The URI specified in the ApplicationDescription does not match the URI in the certificate.,2148990976,128
BadCertificateUseNotAllowed,0x80180000,The certificate may not be used for the requested operation.,2149056512,128
BadCertificateIssuerUseNotAllowed,0x80190000,The issuer certificate may not be used for the requested operation.,2149122048,128
BadCertificateUntrusted,0x801A0000,The certificate is not trusted.,2149187584,128
BadCertificateRevocationUnknown,0x801B0000,It was not possible to determine if the certificate has been revoked.,2149253120,128
BadCertificateIssuerRevocationUnknown,0x801C0000,It was not possible to determine if the issuer certificate has been revoked.,2149318656,128
BadCertificateRevoked,0x801D0000,The certificate has been revoked.,2149384192,128
BadCertificateIssuerRevoked,0x801E0000,The issuer certificate has been revoked.,2149449728,128
BadCertificateChainIncomplete,0x810D0000,The certificate chain is incomplete.,2165112832,129
BadUserAccessDenied,0x801F0000,User does not have permission to perform the requested operation.,2149515264,128
BadIdentityTokenInvalid,0x80200000,The user identity token is not valid.,2149580800,128
BadIdentityTokenRejected,0x80210000,The user identity token is valid but the server has rejected it.,2149646336,128
BadSecureChannelIdInvalid,0x80220000,The specified secure channel is no longer valid.,2149711872,128
BadInvalidTimestamp,0x80230000,The timestamp is outside the range allowed by the server.,2149777408,128
BadNonceInvalid,0x80240000,The nonce does appear to be not a random value or it is not the correct length.,2149842944,128
BadSessionIdInvalid,0x80250000,The session id is not valid.,2149908480,128
BadSessionClosed,0x80260000,The session was closed by the client.,2149974016,128
BadSessionNotActivated,0x80270000,The session cannot be used because ActivateSession has not been called.,2150039552,128
BadSubscriptionIdInvalid,0x80280000,The subscription id is not valid.,2150105088,128
BadRequestHeaderInvalid,0x802A0000,The header for the request is missing or invalid.,2150236160,128
BadTimestampsToReturnInvalid,0x802B0000,The timestamps to return parameter is invalid.,2150301696,128
BadRequestCancelledByClient,0x802C0000,The request was cancelled by the client.,2150367232,128
BadTooManyArguments,0x80E50000,Too many arguments were provided.,2162491392,128
BadLicenseExpired,0x810E0000,The server requires a license to operate in general or to perform a service or operation but existing license is expired.,2165178368,129
BadLicenseLimitsExceeded,0x810F0000,The server has limits on number of allowed operations / objects based on installed licenses and these limits where exceeded.,2165243904,129
BadLicenseNotAvailable,0x81100000,The server does not have a license which is required to operate in general or to perform a service or operation.,2165309440,129
GoodSubscriptionTransferred,0x002D0000,The subscription was transferred to another session.,2949120,0
GoodCompletesAsynchronously,0x002E0000,The processing will complete asynchronously.,3014656,0
GoodOverload,0x002F0000,Sampling has slowed down due to resource limitations.,3080192,0
GoodClamped,0x00300000,The value written was accepted but was clamped.,3145728,0
BadNoCommunication,0x80310000,Communication with the data source is defined but not established and there is no last known value available.,2150694912,128
BadWaitingForInitialData,0x80320000,Waiting for the server to obtain values from the underlying data source.,2150760448,128
BadNodeIdInvalid,0x80330000,The syntax of the node id is not valid.,2150825984,128
BadNodeIdUnknown,0x80340000,The node id refers to a node that does not exist in the server address space.,2150891520,128
BadAttributeIdInvalid,0x80350000,The attribute is not supported for the specified Node.,2150957056,128
BadIndexRangeInvalid,0x80360000,The syntax of the index range parameter is invalid.,2151022592,128
BadIndexRangeNoData,0x80370000,No data exists within the range of indexes specified.,2151088128,128
BadDataEncodingInvalid,0x80380000,The data encoding is invalid.,2151153664,128
BadDataEncodingUnsupported,0x80390000,The server does not support the requested data encoding for the node.,2151219200,128
BadNotReadable,0x803A0000,The access level does not allow reading or subscribing to the Node.,2151284736,128
BadNotWritable,0x803B0000,The access level does not allow writing to the Node.,2151350272,128
BadOutOfRange,0x803C0000,The value was out of range.,2151415808,128
BadNotSupported,0x803D0000,The requested operation is not supported.,2151481344,128
BadNotFound,0x803E0000,A requested item was not found or a search operation ended without success.,2151546880,128
BadObjectDeleted,0x803F0000,The object cannot be used because it has been deleted.,2151612416,128
BadNotImplemented,0x80400000,Requested operation is not implemented.,2151677952,128
BadMonitoringModeInvalid,0x80410000,The monitoring mode is invalid.,2151743488,128
BadMonitoredItemIdInvalid,0x80420000,The monitoring item id does not refer to a valid monitored item.,2151809024,128
BadMonitoredItemFilterInvalid,0x80430000,The monitored item filter parameter is not valid.,2151874560,128
BadMonitoredItemFilterUnsupported,0x80440000,The server does not support the requested monitored item filter.,2151940096,128
BadFilterNotAllowed,0x80450000,A monitoring filter cannot be used in combination with the attribute specified.,2152005632,128
BadStructureMissing,0x80460000,A mandatory structured parameter was missing or null.,2152071168,128
BadEventFilterInvalid,0x80470000,The event filter is not valid.,2152136704,128
BadContentFilterInvalid,0x80480000,The content filter is not valid.,2152202240,128
BadFilterOperatorInvalid,0x80C10000,An unregognized operator was provided in a filter.,2160132096,128
BadFilterOperatorUnsupported,0x80C20000,A valid operator was provided but the server does not provide support for this filter operator.,2160197632,128
BadFilterOperandCountMismatch,0x80C30000,The number of operands provided for the filter operator was less then expected for the operand provided.,2160263168,128
BadFilterOperandInvalid,0x80490000,The operand used in a content filter is not valid.,2152267776,128
BadFilterElementInvalid,0x80C40000,The referenced element is not a valid element in the content filter.,2160328704,128
BadFilterLiteralInvalid,0x80C50000,The referenced literal is not a valid value.,2160394240,128
BadContinuationPointInvalid,0x804A0000,The continuation point provide is longer valid.,2152333312,128
BadNoContinuationPoints,0x804B0000,The operation could not be processed because all continuation points have been allocated.,2152398848,128
BadReferenceTypeIdInvalid,0x804C0000,The operation could not be processed because all continuation points have been allocated.,2152464384,128
BadBrowseDirectionInvalid,0x804D0000,The browse direction is not valid.,2152529920,128
BadNodeNotInView,0x804E0000,The node is not part of the view.,2152595456,128
BadServerUriInvalid,0x804F0000,The ServerUri is not a valid URI.,2152660992,128
BadServerNameMissing,0x80500000,No ServerName was specified.,2152726528,128
BadDiscoveryUrlMissing,0x80510000,No DiscoveryUrl was specified.,2152792064,128
BadSempahoreFileMissing,0x80520000,The semaphore file specified by the client is not valid.,2152857600,128
BadRequestTypeInvalid,0x80530000,The security token request type is not valid.,2152923136,128
BadSecurityModeRejected,0x80540000,The security mode does not meet the requirements set by the server.,2152988672,128
BadSecurityPolicyRejected,0x80550000,The security policy does not meet the requirements set by the server.,2153054208,128
BadTooManySessions,0x80560000,The server has reached its maximum number of sessions.,2153119744,128
BadUserSignatureInvalid,0x80570000,The user token signature is missing or invalid.,2153185280,128
BadApplicationSignatureInvalid,0x80580000,The signature generated with the client certificate is missing or invalid.,2153250816,128
BadNoValidCertificates,0x80590000,The client did not provide at least one software certificate that is valid and meets the profile requirements for the server.,2153316352,128
BadIdentityChangeNotSupported,0x80C60000,The server does not support changing the user identity assigned to the session.,2160459776,128
BadRequestCancelledByRequest,0x805A0000,The request was cancelled by the client with the Cancel service.,2153381888,128
BadParentNodeIdInvalid,0x805B0000,The parent node id does not to refer to a valid node.,2153447424,128
BadReferenceNotAllowed,0x805C0000,The reference could not be created because it violates constraints imposed by the data model.,2153512960,128
BadNodeIdRejected,0x805D0000,The requested node id was reject because it was either invalid or server does not allow node ids to be specified by the client.,2153578496,128
BadNodeIdExists,0x805E0000,The requested node id is already used by another node.,2153644032,128
BadNodeClassInvalid,0x805F0000,The node class is not valid.,2153709568,128
BadBrowseNameInvalid,0x80600000,The browse uri is invalid.,2153775104,128
BadBrowseNameDuplicated,0x80610000,The browse uri is not unique among nodes that share the same relationship with the parent.,2153840640,128
BadNodeAttributesInvalid,0x80620000,The node attributes are not valid for the node class.,2153906176,128
BadTypeDefinitionInvalid,0x80630000,The type definition node id does not reference an appropriate type node.,2153971712,128
BadSourceNodeIdInvalid,0x80640000,The source node id does not reference a valid node.,2154037248,128
BadTargetNodeIdInvalid,0x80650000,The target node id does not reference a valid node.,2154102784,128
BadDuplicateReferenceNotAllowed,0x80660000,The reference type between the nodes is already defined.,2154168320,128
BadInvalidSelfReference,0x80670000,The server does not allow this type of self reference on this node.,2154233856,128
BadReferenceLocalOnly,0x80680000,The reference type is not valid for a reference to a remote server.,2154299392,128
BadNoDeleteRights,0x80690000,The server will not allow the node to be deleted.,2154364928,128
UncertainReferenceNotDeleted,0x40BC0000,The server was not able to delete all target references.,1086062592,64
BadServerIndexInvalid,0x806A0000,The server index is not valid.,2154430464,128
BadViewIdUnknown,0x806B0000,The view id does not refer to a valid view node.,2154496000,128
BadViewTimestampInvalid,0x80C90000,The view timestamp is not available or not supported.,2160656384,128
BadViewParameterMismatch,0x80CA0000,The view parameters are not consistent with each other.,2160721920,128
BadViewVersionInvalid,0x80CB0000,The view version is not available or not supported.,2160787456,128
UncertainNotAllNodesAvailable,0x40C00000,The list of references may not be complete because the underlying system is not available.,1086324736,64
GoodResultsMayBeIncomplete,0x00BA0000,The server should have followed a reference to a node in a remote server but did not. The result set may be incomplete.,12189696,0
BadNotTypeDefinition,0x80C80000,The provided Nodeid was not a type definition nodeid.,2160590848,128
UncertainReferenceOutOfServer,0x406C0000,One of the references to follow in the relative path references to a node in the address space in another server.,1080819712,64
BadTooManyMatches,0x806D0000,The requested operation has too many matches to return.,2154627072,128
BadQueryTooComplex,0x806E0000,The requested operation requires too many resources in the server.,2154692608,128
BadNoMatch,0x806F0000,The requested operation has no match to return.,2154758144,128
BadMaxAgeInvalid,0x80700000,The max age parameter is invalid.,2154823680,128
BadSecurityModeInsufficient,0x80E60000,The operation is not permitted over the current secure channel.,2162556928,128
BadHistoryOperationInvalid,0x80710000,The history details parameter is not valid.,2154889216,128
BadHistoryOperationUnsupported,0x80720000,The server does not support the requested operation.,2154954752,128
BadInvalidTimestampArgument,0x80BD0000,The defined timestamp to return was invalid.,2159869952,128
